name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
렝가,A,3.2154047,14.69852941,1.448529412,0.264705882,129.6029412,1.794117647,349.9411765,4.610294118,12374.93382,18568.86029,1959.110294,5185.110294,15545.91176,21327.60294,111015.0662,24986.06618,0,0,11
루시안,A,2.283014469,14.28848475,1.364975654,0.208414832,168.7801407,1.580548504,520.1324649,3.570768655,11955.97711,15813.85155,2234.020475,2252.832286,11375.04653,18609.54301,134457.9756,18835.97337,0,0,1.544050938
룰루,A,1.160997732,8.282608696,0.97826087,0.108695652,119.5869565,1.195652174,245.4782609,2.413043478,9775.130435,4185.434783,6595.652174,1071.217391,10534.34783,11592.47826,83810.06522,16575.5,0,0,25.54347826
르블랑,A,1.781049936,6.267326733,0.524752475,0.069306931,118.3267327,1.326732673,5.554455446,3.277227723,10527.52475,1678.871287,16544.50495,2717.920792,12621.05941,18910.57426,83317.23762,21671.68317,0,0,16.51485149
리 신,A,2.21888412,15.93939394,0.863636364,0.045454545,114.3787879,1.393939394,83.68181818,3.196969697,10990.09091,13326.22727,2644.575758,3349.939394,16297.81818,16645.36364,100837.4242,26307.10606,0,0,15.74242424
리븐,A,2.456896552,11.75757576,0.818181818,0.090909091,148.3333333,1.787878788,24.21212121,3.515151515,12629.72727,17999.60606,104.7575758,4719.515152,17883.78788,18759,118780.9091,30868.75758,0,0,27.93939394
리산드라,A,1.329577465,4.631578947,0.552631579,0.052631579,137.5263158,1.210526316,0,2.131578947,9838.263158,1039.078947,14836.92105,1920.789474,11194.81579,16666.15789,104079.0526,19459.57895,0,0,38.05263158
릴리아,A,1.890510949,16.15789474,0.789473684,0.263157895,162.4210526,1.526315789,15.89473684,3.105263158,11935,902.7368421,16261.57895,6053.894737,14680.57895,21451.26316,143536.9474,23343.73684,0,0,21.15789474
마스터 이,A,4.342672414,12.57988166,0.893491124,0.112426036,81.50887574,1.331360947,210.3727811,2.307692308,7830.130178,8559.721893,182.3254438,1698.627219,10118.02959,12089.9645,75791.77515,15297.48521,0,0,1.136094675
마오카이,A,0.868292683,3.545454545,0.5,0,105.5,1.090909091,2.727272727,1.454545455,8572.318182,1491.045455,11223,6019.136364,11485.72727,13338.95455,73284.90909,21547.45455,0,0,51.31818182
말자하,A,1.511744966,7.634146341,1.268292683,0.292682927,166.902439,1.341463415,0,2.280487805,11185.84146,543.8536585,16690.47561,1096.231707,8255.463415,17583.43902,130311.0732,14622.63415,0,0,44.95121951
말파이트,A,1.504697987,5,0.554545455,0.1,91.64545455,1.009090909,3.145454545,1.536363636,8221.572727,2331.481818,10702.34545,1135.672727,9325.481818,13507.90909,68286.51818,16672.19091,0,0,22.90909091
모데카이저,A,2.701421801,12.20512821,0.794871795,0.205128205,135.974359,1.333333333,2.487179487,2.871794872,11254.76923,2450.102564,16899.92308,5640.974359,19555.53846,20568.02564,118747.7436,29640.12821,0,0,7.051282051
모르가나,A,1.014209591,8.50877193,0.584795322,0.128654971,118.3391813,1.116959064,0,2.152046784,9614.22807,855.7309942,14272.00585,4180.450292,10223.08772,15655.28655,89611.39766,16739.54971,0,0,43.66666667
문도 박사,A,1.417431193,10.9,1.366666667,0.133333333,152.9666667,1.333333333,6.033333333,3.633333333,11266.96667,6208.766667,14004.33333,8957.366667,19452.73333,20838.5,120834.3333,31451.93333,0,0,19.03333333
미스 포츈,A,1.813125545,11.27119829,1.492823495,0.220815545,161.0076549,1.547512145,631.6013175,3.204180774,11616.35205,16193.26785,1858.207456,1775.616223,10588.94233,18866.9724,122381.7637,17659.45812,0,0,9.305203886
바드,A,0.806451613,10.28571429,0.571428571,0.142857143,96.28571429,1.142857143,203.5714286,1.571428571,8285.142857,3237.571429,6303.571429,4382,7734,10014.57143,63142.28571,14944.57143,0,0,22
바루스,A,1.823891816,11.30919765,1.305004193,0.223091977,159.2091138,1.489516354,251.2971764,3.104836455,11405.94101,13926.31004,3535.250769,2219.164663,10580.91613,17856.68297,123196.9351,17608.39279,0,0,24.1308359
바이,A,2.828193833,12.93650794,0.492063492,0.079365079,81.52380952,0.936507937,202.6349206,2,7652.603175,11395.79365,124.3333333,1137.666667,7958.079365,12147.22222,76502,13752.85714,0,0,15.55555556
베이가,A,1.919437779,8.305764411,1.318295739,0.280701754,156.4786967,1.428571429,0.769423559,3.90726817,11901.599,720.9573935,19867.68922,1997.817043,9274.471178,20884.47368,134855.0576,16764.75439,0,0,27.29824561
베인,A,2.458122139,13.18550894,1.415626549,0.244536566,155.0302348,1.715225522,315.2727887,3.605280944,11701.06835,12520.48826,533.0461407,2470.194791,12233.46992,17848.8158,115754.1722,19526.48313,0,0,8.945298067
벡스,A,1.882864793,6.166666667,0.823232323,0.101010101,137.7222222,1.48989899,0,3.111111111,10970.56566,1342.616162,18365.66667,2195.353535,10077.41414,20300.60101,112689.9545,17430.44949,0,0,30.37373737
벨코즈,A,1.60111576,6.12244898,0.887755102,0.12244898,131.3061224,1.275510204,0,2.897959184,10185.56122,529.4693878,15588.44898,1404.244898,8115.653061,19688.65306,103194.1633,14298.73469,0,0,20.65306122
볼리베어,A,2.762376238,10,0.483870968,0.064516129,80.41935484,0.709677419,12.70967742,1.516129032,7092.709677,6116.741935,3208.354839,3278.419355,11300.70968,9689.677419,72211.80645,19886.25806,0,0,13.77419355
브라움,A,1.428571429,0,0,0,33,0.5,0,0,3821,569,1191,329,4345.5,1760,16166,9764,0,0,7
브랜드,A,1.672150411,8.186956522,0.830434783,0.130434783,136.1,1.42173913,0,2.834782609,10548.46522,606.8826087,19945.60435,1742.934783,9283.552174,21028.96957,110180.4609,16428.12609,0,0,15.72608696
블라디미르,A,1.909179688,9.285714286,1.054421769,0.102040816,158.6802721,1.591836735,0,3.789115646,11581.61224,908.6530612,21318.30612,19874.46939,18029.40136,22699.63265,130039.6463,28424.81633,0,0,4.034013605
블리츠크랭크,A,1.208588957,3.947368421,0.315789474,0,55.42105263,0.947368421,0,0.947368421,7453.947368,2084.210526,7604.368421,1328.052632,11431.89474,10208.68421,43745.15789,19221.26316,0,0,33.89473684
비에고,A,2.561181435,17.93333333,1.111111111,0.244444444,114.0444444,1.488888889,389.1111111,3.333333333,10428.95556,12981.24444,1909.422222,5038.933333,14211.33333,15590.26667,105344.0889,23314.11111,0,0,12.95555556
빅토르,A,1.712177122,10.49456522,1.016304348,0.157608696,161.1902174,1.369565217,0,2.85326087,11451.41304,660.1358696,21888.07065,1570.847826,10132.65761,22981.54348,134294.9946,16894.55435,0,0,21.19565217
뽀삐,A,1.516666667,5.266666667,0.666666667,0.133333333,115.7333333,1,91.26666667,1.6,10074.4,12354.33333,2880.466667,3752.866667,14854.2,15754.13333,88679.13333,25136.8,0,0,34.06666667
사미라,A,2.555615196,13.66935761,1.229359899,0.183556624,162.2704111,1.924252834,546.6933471,3.890930952,12064.3678,16072.82354,2584.331387,2316.855891,13219.28925,19120.86225,122229.5764,21659.8106,0,0,2.53538303
사이온,A,1.643171806,4.862068966,1.137931034,0.172413793,120.8965517,1.24137931,48.86206897,1.965517241,10035.65517,11386.13793,4246.206897,2386.034483,19472.55172,16478.96552,98398.51724,33371.17241,0,0,40.4137931
사일러스,A,2.366990291,8.951515152,0.690909091,0.115151515,112.7636364,1.375757576,6.127272727,2.593939394,9994.321212,673.7212121,16736.44848,6144.727273,17427.6303,17942.61212,91892.63636,28031.26061,0,0,23.61212121
샤코,A,1.776699029,10.09375,0.4375,0.09375,35.09375,0.625,118.40625,1.09375,5136.5625,1878.46875,4931.8125,1346,5167.78125,7242.46875,35099.125,9512,0,0,13.34375
세나,A,1.180406717,8.178571429,1.025747508,0.15448505,135.736711,1.28986711,407.1578073,2.591362126,11090.81229,15308.20847,413.1038206,8233.354651,10140.58638,17116.56146,99569.7201,16954.8995,0,0,23.64119601
